3402,#genre#
CCTV-1,http://192.168.50.1:56666/rtp/238.1.78.166:7200
CCTV-2,http://192.168.50.1:56666/rtp/238.1.78.235:7752
CCTV-3,http://192.168.50.1:56666/rtp/238.1.78.170:7232
CCTV-4,http://192.168.50.1:56666/rtp/238.1.78.236:7760
CCTV5,http://192.168.50.1:56666/rtp/238.1.78.171:7240
CCTV5+,http://192.168.50.1:56666/rtp/238.1.78.237:7768
CCTV6,http://192.168.50.1:56666/rtp/238.1.78.172:7248
CCTV7,http://192.168.50.1:56666/rtp/238.1.78.239:7784
CCTV8,http://192.168.50.1:56666/rtp/238.1.78.173:7256
CCTV9,http://192.168.50.1:56666/rtp/238.1.78.240:7792
CCTV10,http://192.168.50.1:56666/rtp/238.1.78.241:7800
CCTV11,http://192.168.50.1:56666/rtp/238.1.78.206:7502
CCTV12,http://192.168.50.1:56666/rtp/238.1.78.242:7808
CCTV13,http://192.168.50.1:56666/rtp/238.1.79.35:4392
CCTV14,http://192.168.50.1:56666/rtp/238.1.78.243:7816
CCTV15,http://192.168.50.1:56666/rtp/238.1.78.222:7648
CCTV17,http://192.168.50.1:56666/rtp/238.1.78.178:7296
安徽经视,http://192.168.50.1:56666/rtp/238.1.79.44:4464
安徽影视,http://192.168.50.1:56666/rtp/238.1.79.42:4448
安徽公共,http://192.168.50.1:56666/rtp/238.1.79.43:4456
安徽综艺,http://192.168.50.1:56666/rtp/238.1.79.41:4440
安徽科教,http://192.168.50.1:56666/rtp/238.1.79.40:4432
安徽人物,http://192.168.50.1:56666/rtp/238.1.79.45:4472
风云足球,http://192.168.50.1:56666/rtp/238.1.79.57:4592
快乐垂钓,http://192.168.50.1:56666/rtp/238.1.79.31:4360
央视台球,http://192.168.50.1:56666/rtp/238.1.79.59:4608
世界地理,http://192.168.50.1:56666/rtp/238.1.79.60:4616
安徽卫视,http://192.168.50.1:56666/rtp/238.1.78.150:7072
北京卫视,http://192.168.50.1:56666/rtp/238.1.78.162:7168
东方卫视,http://192.168.50.1:56666/rtp/238.1.78.163:7176
东南卫视,http://192.168.50.1:56666/rtp/238.1.78.22:6104
甘肃卫视,http://192.168.50.1:56666/rtp/238.1.79.36:4400
广东卫视,http://192.168.50.1:56666/rtp/238.1.78.161:7160
贵州卫视,http://192.168.50.1:56666/rtp/238.1.78.244:7824
海南卫视,http://192.168.50.1:56666/rtp/238.1.79.49:4504
河北卫视,http://192.168.50.1:56666/rtp/238.1.78.245:7832
河南卫视,http://192.168.50.1:56666/rtp/238.1.79.65:4632
黑龙江卫视,http://192.168.50.1:56666/rtp/238.1.78.159:7144
湖北卫视,http://192.168.50.1:56666/rtp/238.1.78.168:7216
湖南卫视,http://192.168.50.1:56666/rtp/238.1.78.160:7152
吉林卫视,http://192.168.50.1:56666/rtp/238.1.79.48:4496
江苏卫视,http://192.168.50.1:56666/rtp/238.1.78.165:7192
江西卫视,http://192.168.50.1:56666/rtp/238.1.78.26:6136
辽宁卫视,http://192.168.50.1:56666/rtp/238.1.78.21:6096
山东卫视,http://192.168.50.1:56666/rtp/238.1.78.169:7224
深圳卫视,http://192.168.50.1:56666/rtp/238.1.78.156:7120
天津卫视,http://192.168.50.1:56666/rtp/238.1.78.20:6088
浙江卫视,http://192.168.50.1:56666/rtp/238.1.78.164:7184
四川卫视,http://192.168.50.1:56666/rtp/238.1.78.30:6168
重庆卫视,http://192.168.50.1:56666/rtp/238.1.78.31:6176
合肥新闻,http://192.168.50.1:56666/rtp/238.1.78.111:6760
爱上4Khttp://192.168.50.1:56666/rtp/238.1.78.23:6112
兵器科技(付费),http://192.168.50.1:56666/rtp/238.1.79.56:4584
茶,http://192.168.50.1:56666/rtp/238.1.79.30:4352
第一剧场,http://192.168.50.1:56666/rtp/238.1.79.63:4640
电视指南,http://192.168.50.1:56666/rtp/238.1.79.53:4560
动漫秀场,http://192.168.50.1:56666/rtp/238.1.78.154:7104
风云剧场,http://192.168.50.1:56666/rtp/238.1.79.62:4632
风云音乐,http://192.168.50.1:56666/rtp/238.1.79.64:4648
风云足球,http://192.168.50.1:56666/rtp/238.1.79.57:4592
高尔夫,http://192.168.50.1:56666/rtp/238.1.79.58:4600
怀旧剧场,http://192.168.50.1:56666/rtp/238.1.79.61:4624
纪实人文,http://192.168.50.1:56666/rtp/238.1.78.153:7096
金鹰纪实,http://192.168.50.1:56666/rtp/238.1.79.9:4184
快乐垂钓,http://192.168.50.1:56666/rtp/238.1.79.31:4360
女性时尚,http://192.168.50.1:56666/rtp/238.1.79.55:4576
全纪实,http://192.168.50.1:56666/rtp/238.1.78.151:7080
生活时尚,http://192.168.50.1:56666/rtp/238.1.78.155:7112
世界地理,http://192.168.50.1:56666/rtp/238.1.79.60:4616
央视精品,http://192.168.50.1:56666/rtp/238.1.79.54:4568
央视台球,http://192.168.50.1:56666/rtp/238.1.79.59:4608
中国教育-1,http://192.168.50.1:56666/rtp/238.1.78.158:7136
